branch_id,plant_id,orientation,farmer,plot_type,fert_trt,shd_trt,jun_frt,dec_dieback,binom_dieback
1300,61,W,Fernando,lsun,l,sun,200,n,0
1301,62,N,Fernando,lsun,l,sun,54,n,0
1302,62,S,Fernando,lsun,l,sun,62,n,0
1303,62,E,Fernando,lsun,l,sun,73,n,0
1304,62,W,Fernando,lsun,l,sun,19,y,1
1305,63,N,Fernando,lsun,l,sun,89,n,0
1306,63,S,Fernando,lsun,l,sun,69,y,1
1307,63,E,Fernando,lsun,l,sun,68,y,1
1308,63,W,Fernando,lsun,l,sun,22,n,0
1309,64,N,Fernando,lsun,l,sun,137,na,NA
1310,64,S,Fernando,lsun,l,sun,101,n,0
1311,64,E,Fernando,lsun,l,sun,216,n,0
1312,64,W,Fernando,lsun,l,sun,160,n,0
1313,65,N,Fernando,lsun,l,sun,115,n,0
1314,65,S,Fernando,lsun,l,sun,127,n,0
1315,65,E,Fernando,lsun,l,sun,60,n,0
1316,65,W,Fernando,lsun,l,sun,78,n,0
1317,66,N,Fernando,lsun,l,sun,118,n,0
1318,66,S,Fernando,lsun,l,sun,66,y,1
1319,66,E,Fernando,lsun,l,sun,105,n,0
1320,66,W,Fernando,lsun,l,sun,60,n,0
1321,67,N,Fernando,hsun,h,sun,3,n,0
1322,67,S,Fernando,hsun,h,sun,15,n,0
1323,67,E,Fernando,hsun,h,sun,20,n,0
1324,67,W,Fernando,hsun,h,sun,31,n,0
1325,68,N,Fernando,hsun,h,sun,110,n,0
1326,68,S,Fernando,hsun,h,sun,114,y,1
1327,68,E,Fernando,hsun,h,sun,76,n,0
1328,68,W,Fernando,hsun,h,sun,107,n,0
1329,69,N,Fernando,hsun,h,sun,25,n,0
1330,69,S,Fernando,hsun,h,sun,78,n,0
1331,69,E,Fernando,hsun,h,sun,55,n,0
1332,69,W,Fernando,hsun,h,sun,36,n,0
1333,70,N,Fernando,hsun,h,sun,44,y,1
1334,70,S,Fernando,hsun,h,sun,59,n,0
1335,70,E,Fernando,hsun,h,sun,134,n,0
1336,70,W,Fernando,hsun,h,sun,87,n,0
1337,71,N,Fernando,hsun,h,sun,109,y,1
1338,71,S,Fernando,hsun,h,sun,68,n,0
1339,71,E,Fernando,hsun,h,sun,197,y,1
1340,71,W,Fernando,hsun,h,sun,173,n,0
1341,72,N,Fernando,hsun,h,sun,83,n,0
1342,72,S,Fernando,hsun,h,sun,76,n,0
1343,72,E,Fernando,hsun,h,sun,80,n,0
1344,72,W,Fernando,hsun,h,sun,90,n,0
1345,73,N,Fernando,hsun,h,sun,43,n,0
1346,73,S,Fernando,hsun,h,sun,81,n,0
1347,73,E,Fernando,hsun,h,sun,78,n,0
1348,73,W,Fernando,hsun,h,sun,62,n,0
1349,74,N,Fernando,hsun,h,sun,152,n,0
1350,74,S,Fernando,hsun,h,sun,203,n,0
1351,74,E,Fernando,hsun,h,sun,126,n,0
1352,74,W,Fernando,hsun,h,sun,72,n,0
1353,75,N,Fernando,hsun,h,sun,100,n,0
1354,75,S,Fernando,hsun,h,sun,136,n,0
1355,75,E,Fernando,hsun,h,sun,116,y,1
1356,75,W,Fernando,hsun,h,sun,145,n,0
1357,76,N,Fernando,hsun,h,sun,79,n,0
1358,76,S,Fernando,hsun,h,sun,66,n,0
1359,76,E,Fernando,hsun,h,sun,95,n,0
1360,76,W,Fernando,hsun,h,sun,112,n,0
1361,77,N,Fernando,hsun,h,sun,22,n,0
1362,77,S,Fernando,hsun,h,sun,20,n,0
1363,77,E,Fernando,hsun,h,sun,41,n,0
1364,77,W,Fernando,hsun,h,sun,37,n,0
1365,78,N,Fernando,hsun,h,sun,7,n,0
1366,78,S,Fernando,hsun,h,sun,7,n,0
1367,78,E,Fernando,hsun,h,sun,13,n,0
1368,78,W,Fernando,hsun,h,sun,84,n,0
1369,79,N,Fernando,hsun,h,sun,122,n,0
1370,79,S,Fernando,hsun,h,sun,91,n,0
1371,79,E,Fernando,hsun,h,sun,60,n,0
1372,79,W,Fernando,hsun,h,sun,57,n,0
1373,80,N,Fernando,hsun,h,sun,112,n,0
1374,80,S,Fernando,hsun,h,sun,139,n,0
1375,80,E,Fernando,hsun,h,sun,112,y,1
1376,80,W,Fernando,hsun,h,sun,73,n,0
1377,81,N,Fernando,hsun,h,sun,81,y,1
1378,81,S,Fernando,hsun,h,sun,116,n,0
1379,81,E,Fernando,hsun,h,sun,117,n,0
1380,81,W,Fernando,hsun,h,sun,88,n,0
1381,82,N,Fernando,hsun,h,sun,70,n,0
1382,82,S,Fernando,hsun,h,sun,55,n,0
1383,82,E,Fernando,hsun,h,sun,72,y,1
1384,82,W,Fernando,hsun,h,sun,69,n,0
1385,83,N,Fernando,hsun,h,sun,155,n,0
1386,83,S,Fernando,hsun,h,sun,105,n,0
1387,83,E,Fernando,hsun,h,sun,133,n,0
1388,83,W,Fernando,hsun,h,sun,71,n,0
1389,84,N,Fernando,hsun,h,sun,51,n,0
1390,84,S,Fernando,hsun,h,sun,136,n,0
1391,84,E,Fernando,hsun,h,sun,65,y,1
1392,84,W,Fernando,hsun,h,sun,123,n,0
1393,85,N,Fernando,hsun,h,sun,132,n,0
1394,85,S,Fernando,hsun,h,sun,125,n,0
1395,85,E,Fernando,hsun,h,sun,118,n,0
1396,85,W,Fernando,hsun,h,sun,127,n,0
1397,86,N,Fernando,hsun,h,sun,64,y,1
1398,86,S,Fernando,hsun,h,sun,113,n,0
1399,86,E,Fernando,hsun,h,sun,118,n,0
1400,86,W,Fernando,hsun,h,sun,152,n,0
1401,87,N,Fernando,hsun,h,sun,131,n,0
1402,87,S,Fernando,hsun,h,sun,84,y,1
1403,87,E,Fernando,hsun,h,sun,112,n,0
1404,87,W,Fernando,hsun,h,sun,93,n,0
1405,88,N,Fernando,hsun,h,sun,,na,NA
1406,88,S,Fernando,hsun,h,sun,,na,NA
1407,88,E,Fernando,hsun,h,sun,,na,NA
1408,88,W,Fernando,hsun,h,sun,,na,NA
1409,89,N,Miguel,hshd,h,shd,29,n,0
1410,89,S,Miguel,hshd,h,shd,74,n,0
1411,89,E,Miguel,hshd,h,shd,69,n,0
1412,89,W,Miguel,hshd,h,shd,89,n,0
1413,90,N,Miguel,hshd,h,shd,5,n,0
1414,90,S,Miguel,hshd,h,shd,39,n,0
1415,90,E,Miguel,hshd,h,shd,67,n,0
1416,90,W,Miguel,hshd,h,shd,36,n,0
1417,91,N,Miguel,hshd,h,shd,113,n,0
1418,91,S,Miguel,hshd,h,shd,67,n,0
1419,91,E,Miguel,hshd,h,shd,105,n,0
1420,91,W,Miguel,hshd,h,shd,111,n,0
1421,92,N,Miguel,hshd,h,shd,120,n,0
1422,92,S,Miguel,hshd,h,shd,173,n,0
1423,92,E,Miguel,hshd,h,shd,75,n,0
1424,92,W,Miguel,hshd,h,shd,173,n,0
1425,93,N,Miguel,hshd,h,shd,38,n,0
1426,93,S,Miguel,hshd,h,shd,34,n,0
1427,93,E,Miguel,hshd,h,shd,53,y,1
1428,93,W,Miguel,hshd,h,shd,53,n,0
1429,94,N,Miguel,hshd,h,shd,33,n,0
1430,94,S,Miguel,hshd,h,shd,42,n,0
1431,94,E,Miguel,hshd,h,shd,28,n,0
1432,94,W,Miguel,hshd,h,shd,77,n,0
1433,95,N,Miguel,hshd,h,shd,18,n,0
1434,95,S,Miguel,hshd,h,shd,14,n,0
1435,95,E,Miguel,hshd,h,shd,24,n,0
1436,95,W,Miguel,hshd,h,shd,12,n,0
1437,96,N,Miguel,hshd,h,shd,129,n,0
1438,96,S,Miguel,hshd,h,shd,108,n,0
1439,96,E,Miguel,hshd,h,shd,76,y,1
1440,96,W,Miguel,hshd,h,shd,48,n,0
1441,97,N,Miguel,hshd,h,shd,259,n,0
1442,97,S,Miguel,hshd,h,shd,30,n,0
1443,97,E,Miguel,hshd,h,shd,129,n,0
1444,97,W,Miguel,hshd,h,shd,87,y,1
1445,98,N,Miguel,hshd,h,shd,76,n,0
1446,98,S,Miguel,hshd,h,shd,64,y,1
1447,98,E,Miguel,hshd,h,shd,116,n,0
1448,98,W,Miguel,hshd,h,shd,59,n,0
1449,99,N,Miguel,hshd,h,shd,71,n,0
1450,99,S,Miguel,hshd,h,shd,53,n,0
1451,99,E,Miguel,hshd,h,shd,133,n,0
1452,99,W,Miguel,hshd,h,shd,81,n,0
1453,100,N,Miguel,hshd,h,shd,79,n,0
1454,100,S,Miguel,hshd,h,shd,81,n,0
1455,100,E,Miguel,hshd,h,shd,47,n,0
1456,100,W,Miguel,hshd,h,shd,58,n,0
1457,101,N,Miguel,hshd,h,shd,105,n,0
1458,101,S,Miguel,hshd,h,shd,78,n,0
1459,101,E,Miguel,hshd,h,shd,102,n,0
1460,101,W,Miguel,hshd,h,shd,68,y,1
1461,102,N,Miguel,hshd,h,shd,74,n,0
1462,102,S,Miguel,hshd,h,shd,116,n,0
1463,102,E,Miguel,hshd,h,shd,36,n,0
1464,102,W,Miguel,hshd,h,shd,80,y,1
1465,103,N,Miguel,hshd,h,shd,42,n,0
1466,103,S,Miguel,hshd,h,shd,75,n,0
1467,103,E,Miguel,hshd,h,shd,67,n,0
1468,103,W,Miguel,hshd,h,shd,58,na,NA
1469,104,N,Miguel,hshd,h,shd,48,n,0
1470,104,S,Miguel,hshd,h,shd,7,n,0
1471,104,E,Miguel,hshd,h,shd,23,n,0
1472,104,W,Miguel,hshd,h,shd,18,n,0
1473,105,N,Miguel,hshd,h,shd,31,n,0
1474,105,S,Miguel,hshd,h,shd,46,n,0
1475,105,E,Miguel,hshd,h,shd,52,y,1
1476,105,W,Miguel,hshd,h,shd,43,n,0
1477,106,N,Miguel,hshd,h,shd,53,n,0
1478,106,S,Miguel,hshd,h,shd,28,n,0
1479,106,E,Miguel,hshd,h,shd,97,n,0
1480,106,W,Miguel,hshd,h,shd,41,n,0
1481,107,N,Miguel,hshd,h,shd,19,n,0
1482,107,S,Miguel,hshd,h,shd,143,n,0
1483,107,E,Miguel,hshd,h,shd,65,y,1
1484,107,W,Miguel,hshd,h,shd,161,n,0
1485,108,N,Miguel,hshd,h,shd,15,n,0
1486,108,S,Miguel,hshd,h,shd,55,n,0
1487,108,E,Miguel,hshd,h,shd,16,n,0
1488,108,W,Miguel,hshd,h,shd,41,n,0
1489,109,N,Miguel,hshd,h,shd,44,n,0
1490,109,S,Miguel,hshd,h,shd,41,n,0
1491,109,E,Miguel,hshd,h,shd,54,n,0
1492,109,W,Miguel,hshd,h,shd,23,n,0
1493,110,N,Miguel,hshd,h,shd,52,n,0
1494,110,S,Miguel,hshd,h,shd,50,n,0
1495,110,E,Miguel,hshd,h,shd,36,n,0
1496,110,W,Miguel,hshd,h,shd,46,n,0
1497,111,N,Miguel,lshd,l,shd,39,y,1
1498,111,S,Miguel,lshd,l,shd,16,n,0
1499,111,E,Miguel,lshd,l,shd,42,n,0
1500,111,W,Miguel,lshd,l,shd,23,n,0
1501,112,N,Miguel,lshd,l,shd,49,n,0
1502,112,S,Miguel,lshd,l,shd,30,n,0
1503,112,E,Miguel,lshd,l,shd,29,n,0
1504,112,W,Miguel,lshd,l,shd,36,n,0
1505,113,N,Miguel,lshd,l,shd,1,n,0
1506,113,S,Miguel,lshd,l,shd,26,n,0
1507,113,E,Miguel,lshd,l,shd,14,n,0
1508,113,W,Miguel,lshd,l,shd,45,n,0
1509,114,N,Miguel,lshd,l,shd,,na,NA
1510,114,S,Miguel,lshd,l,shd,,na,NA
1511,114,E,Miguel,lshd,l,shd,,na,NA
1512,114,W,Miguel,lshd,l,shd,,na,NA
1513,115,N,Miguel,lshd,l,shd,91,n,0
1514,115,S,Miguel,lshd,l,shd,89,n,0
1515,115,E,Miguel,lshd,l,shd,36,n,0
1516,115,W,Miguel,lshd,l,shd,11,n,0
1517,116,N,Miguel,lshd,l,shd,90,y,1
1518,116,S,Miguel,lshd,l,shd,59,n,0
1519,116,E,Miguel,lshd,l,shd,29,n,0
1520,116,W,Miguel,lshd,l,shd,29,n,0
1521,117,N,Miguel,lshd,l,shd,9,y,1
1522,117,S,Miguel,lshd,l,shd,8,n,0
1523,117,E,Miguel,lshd,l,shd,3,n,0
1524,117,W,Miguel,lshd,l,shd,11,n,0
1525,118,N,Miguel,lshd,l,shd,21,n,0
1526,118,S,Miguel,lshd,l,shd,28,n,0
1527,118,E,Miguel,lshd,l,shd,68,n,0
1528,118,W,Miguel,lshd,l,shd,19,n,0
1529,119,N,Miguel,lshd,l,shd,45,n,0
1530,119,S,Miguel,lshd,l,shd,6,n,0
1531,119,E,Miguel,lshd,l,shd,89,n,0
1532,119,W,Miguel,lshd,l,shd,53,n,0
1533,120,N,Miguel,lshd,l,shd,33,y,1
1534,120,S,Miguel,lshd,l,shd,50,n,0
1535,120,E,Miguel,lshd,l,shd,32,n,0
1536,120,W,Miguel,lshd,l,shd,77,n,0
1537,121,N,Miguel,lshd,l,shd,13,n,0
1538,121,S,Miguel,lshd,l,shd,13,n,0
1539,121,E,Miguel,lshd,l,shd,52,n,0
1540,121,W,Miguel,lshd,l,shd,48,n,0
1541,122,N,Miguel,lshd,l,shd,47,n,0
1542,122,S,Miguel,lshd,l,shd,11,n,0
