trackID,date,indID,sex,starttime,interval,gps.num,index,waypt,flag,lat,lon,behavior,nect.plant,habitat,Chel_Plan,release.area,recorder,tracker,temp,cloudcover,Notes,X,track_num,track_flag,time
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,201,688,8,42.485485,-71.568346,c,na,upland,no,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_8,390
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,202,689,9,42.485481,-71.568351,c,na,upland,no,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_9,15
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,203,690,10,42.485449,-71.568359,c,na,upland,no,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_10,15
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,204,691,11,42.48545,-71.568267,c,na,upland,no,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_11,15
29-Jun_R-LBG,29-Jun,R-LBG,Female,3:23pm,15,1,205,692,12,42.48541,-71.568268,m,celastrus,upland,no,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_12,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,1,696,1,42.485088,-71.568688,f,cup,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_1,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,2,697,2,42.485027,-71.56874,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_2,30
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,3,698,3,42.484995,-71.568751,p,plantago,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_3,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,166,699,4,42.484993,-71.568745,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_4,90
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,167,700,5,42.485001,-71.568758,p,aster,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_5,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,168,701,6,42.485,-71.568723,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_6,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,169,702,7,42.484998,-71.568733,p,herb,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_7,30
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,172,703,8,42.484992,-71.568726,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_8,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,173,704,9,42.485011,-71.568688,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_9,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,174,705,10,42.484985,-71.56874,p,grass,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_10,105
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,176,706,11,42.484988,-71.568771,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_11,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,177,707,12,42.484991,-71.568773,p,clover,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_12,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,183,708,13,42.484994,-71.568765,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_13,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,184,709,14,42.484966,-71.568781,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,"Flag 15 was thrown following another butterfly, and was removed from data sheet",,15,15_14,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,185,710,16,42.485014,-71.568773,p,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_16,30
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,187,711,17,42.484995,-71.568767,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_17,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,188,712,18,42.485048,-71.568729,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_18,30
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,189,713,19,42.485053,-71.568704,p,plantago,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_19,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,196,714,20,42.485054,-71.568695,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_20,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,197,715,21,42.485069,-71.5687,p,herb,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_21,60
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,198,716,22,42.48508,-71.568707,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_22,2445
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,199,717,23,42.485087,-71.568698,p,aster,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_23,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,207,718,24,42.485058,-71.568708,p,grass,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_24,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,209,719,25,42.485052,-71.568705,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_25,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,210,720,26,42.485032,-71.5687,p,herb,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_26,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,212,721,27,42.485024,-71.568705,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_27,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,213,722,28,42.48502,-71.568721,b,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_28,30
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,214,723,29,42.485,-71.56876,b,herb,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_29,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,218,724,30,42.485008,-71.568727,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_30,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,219,725,31,42.48507,-71.568692,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_31,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,220,726,32,42.485086,-71.568706,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_32,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,221,727,33,42.485096,-71.568731,p,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_33,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,222,728,34,42.485107,-71.568655,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_34,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,223,729,35,42.485113,-71.568662,p,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_35,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,225,730,36,42.485132,-71.568655,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_36,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,226,731,37,42.485134,-71.568744,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_37,45
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,227,732,38,42.485161,-71.568583,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_38,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,228,733,39,42.485157,-71.568569,p,grass,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_39,15
30-Jun_R-GGGR,30-Jun,R-GGGR,Female,10:20am,15,1,229,734,40,42.485149,-71.568571,f,n/a,upland,P,area 3,Natalie,Emma,82,mostly sunny,mated,,15,15_40,NA
30-Jun_L-BGL,30-Jun,L-BGL,Female,11:57am,15,3,1,553,1,42.484521,-71.569303,p,cup,wet,T,dorm 25,Natalie,Emma,84,mostly sunny,virgin,,16,16_1,210
30-Jun_L-BGL,30-Jun,L-BGL,Female,11:57am,15,3,15,554,2,42.484518,-71.5693,p,bracken fern,wet,T,dorm 25,Natalie,Emma,84,mostly sunny,virgin,,16,16_2,2055
30-Jun_L-BGL,30-Jun,L-BGL,Female,11:57am,15,3,152,555,3,42.48452,-71.569297,p,bracken fern,wet,T,dorm 25,Natalie,Emma,84,mostly sunny,virgin,,16,16_3,3135
1-Jul_R-RGL,1-Jul,R-RGL,Female,10:15am,15,3,1,556,1,42.485677,-71.568592,p,cup,wet,T,dorm 10,Natasha,Emma,74,cloudy,virgin,,17,17_1,5400
